"ID","Duration (in seconds)","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Intergroup_dominance_Q1","Intergroup_dominance_Q2","Intergroup_dominance_Q3","Intergroup_dominance_Q4","Intergroup_dominance_Q5","Intergroup_dominance_Q6","Intergroup_dominance_Q7","Intergroup_dominance_Q8","Antiegalitarian_Q1","Antiegalitarian_Q2","Antiegalitarian_Q3","Antiegalitarian_Q4","Antiegalitarian_Q5","Antiegalitarian_Q6","Antiegalitarian_Q7","Antiegalitarian_Q8","SC0"
71,"139","1","0","0","0","0","63","120","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","71"
72,"132","8","6","90",NA,"8","66","120","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","67"
73,"268","6","3","105","N/A","0","68","168","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","73"
74,"242","6","4","225","300","15","71","165","Strongly Agree","Slightly Disagree","Slightly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Slightly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Slightly Agree","77"
75,"136","8","5","160","260","17","65","135","Somewhat Disagree","Slightly Disagree","Somewhat Disagree","Slightly Agree","Slightly Agree","Slightly Agree","Somewhat Agree","Slightly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Neutral","Slightly Agree","Somewhat Agree","Somewhat Agree","71"
76,"179","7","7","315","385","22","69","192","Somewhat Agree","Somewhat Disagree","Slightly Disagree","Neutral","Somewhat Agree","Somewhat Agree","Slightly Agree","Slightly Agree","Slightly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Slightly Disagree","Strongly Agree","Slightly Disagree","81"
77,"169","7","5","135","225","9","67","150","Slightly Agree","Strongly Disagree","Neutral","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Slightly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","89"
78,"321",NA,"5 days a week","230","295","19","71","195","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Slightly Agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Slightly Disagree","Slightly Agree","Slightly Disagree","Neutral","90"
79,"352","5","7 days","115","185","0","66","158","Slightly Agree","Neutral","Slightly Disagree","Neutral","Strongly Agree","Slightly Disagree","Slightly Agree","Neutral","Slightly Agree",NA,NA,NA,"Neutral","Slightly Disagree","Neutral","Neutral","67"
80,"317","6","5","80","225","5","66","150","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Slightly Agree","Strongly Agree","Slightly Agree","Strongly Agree","Neutral","Slightly Disagree","Slightly Disagree","Slightly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","85"
81,"239","7","7","240","400","16","5’11","160","Strongly Agree","Slightly Agree","Slightly Agree","Slightly Agree","Neutral","Slightly Disagree","Slightly Disagree","Slightly Disagree","Slightly Agree","Somewhat Agree","Somewhat Agree","Slightly Agree","Neutral","Slightly Disagree","Neutral","Slightly Disagree","84"
82,"521","10","6","365","655","32","67","195","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Slightly Agree","Slightly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","82"
83,"174","9","4","385","617","26","5’7","200","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Slightly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","79"
84,"168","7","5","245","405","12","72","190",NA,NA,NA,NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","40"
85,"148",NA,NA,NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Slightly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","76"
86,"135",NA,"7-10","Don’t know","Idk","10","66 inches","128","Strongly Disagree",NA,NA,NA,NA,NA,NA,NA,"Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","50"
87,"271",NA,"7","315","415","28","73","212","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Slightly Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Slightly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","74"
88,"176",NA,"0","Idk","Idk","Idk","5’ 3”","125 lbs","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","73"
89,"1174","7","5 days a week","120lbs","204lbs","9","58inches","118","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Somewhat Agree","Strongly Agree","Neutral","Neutral","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Slightly Agree","Slightly Disagree","80"
90,"335","8","4","275","350","18","71","200","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","79"
91,"229","8","5","200","345","20","70","200","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Slightly Agree","Neutral","Somewhat Disagree","Somewhat Agree","Neutral","88"
92,"622",NA,"3","260","300","5","72","240","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Slightly Disagree","Slightly Agree","Slightly Disagree","Somewhat Disagree","Slightly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","93"
93,"324","8","6","250","400","20","69","140","Strongly Agree","Slightly Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Disagree","Slightly Disagree","Neutral","Somewhat Agree","80"
94,"164","5","2","85","225","0","64","150","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Slightly Disagree","Slightly Agree","Slightly Agree","Somewhat Agree","Slightly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Agree","Slightly Agree","63"
95,"245",NA,"5","315","405","24","70","160","Strongly Agree","Slightly Agree","Slightly Agree","Strongly Agree","Somewhat Disagree","Slightly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Slightly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","80"
96,"312","10","5","255","475","23","69","200","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","79"
97,"199","9","6","385","405","26","73","265","Slightly Disagree","Somewhat Agree","Slightly Disagree","Somewhat Disagree","Strongly Agree","Slightly Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Slightly Agree","Strongly Agree","Strongly Agree","82"
98,"229","9","5","315","425","20","70","190","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Slightly Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Slightly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Neutral","74"
99,"152",NA,"4 days normally, I just started College at a top school and have not had the time","305","490","8","73","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"282","7","5 Days","135lbs","295","15","64”","123lbs","Slightly Agree","Somewhat Agree","Slightly Disagree","Slightly Disagree",NA,NA,NA,NA,"Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","70"
101,"351","4","115","15","15","3","5","167","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Neutral","Strongly Agree","Slightly Agree","Strongly Agree","Somewhat Agree","Slightly Agree","Strongly Disagree","Slightly Disagree","Strongly Agree","Neutral","Strongly Agree","77"
102,"203",NA,"0","225","315","1","69","200","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Slightly Agree","Strongly Disagree","Strongly Disagree","Slightly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","86"
103,"189","6","4","275","375","23","71","180","Somewhat Disagree","Somewhat Disagree","Slightly Agree","Somewhat Agree","Strongly Agree","Slightly Disagree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","77"
104,"282","7","5","135","225","10","63","130","Slightly Agree","Strongly Disagree","Slightly Agree","Slightly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","86"
105,"425","8","5","100 lbs","125","0","5’6","200","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","82"
106,"312","7","5","No idea",NA,"Na","63","150","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Slightly Agree","91"
107,"244","8","6","335","505","23","60","216","Slightly Agree","Slightly Agree","Somewhat Agree","Slightly Agree","Slightly Agree","Somewhat Agree","Strongly Agree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Strongly Agree","Neutral","98"
108,"319","7","4","285","400","23","65","190","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Slightly Disagree","Neutral","Slightly Agree","Slightly Agree","Slightly Disagree","Slightly Disagree","Slightly Disagree","Strongly Agree","Neutral","89"
109,"233",NA,"5","250","325","23","66","160","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Slightly Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","76"
110,"169","5",NA,NA,NA,NA,NA,NA,"Somewhat Disagree","Strongly Disagree","Strongly Disagree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Slightly Agree","Strongly Disagree","Somewhat Disagree","Slightly Disagree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Neutral","66"
111,"225","8","8","255","455","25","73","200","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Slightly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Slightly Agree","Strongly Agree","Slightly Disagree","93"
112,"188","8","4","270","400","20","69","197","Slightly Agree","Slightly Agree","Slightly Agree","Slightly Agree","Strongly Agree","Slightly Disagree","Slightly Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neutral","68"
113,"274","5","0","No idea, but not much","No idea, but very little","0.  I've never been able to do 1","72","230","Somewhat Disagree","Slightly Agree","Slightly Disagree","Neutral","Strongly Agree","Neutral","Slightly Agree","Slightly Agree","Slightly Agree","Slightly Disagree","Somewhat Disagree","Slightly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","85"
114,"194","6","4","185","275","6","67","172","Somewhat Disagree","Strongly Disagree","Slightly Disagree","Neutral","Strongly Agree","Slightly Agree","Strongly Agree","Slightly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","76"
115,"94",NA,"4","200","315","5","68","175",NA,NA,NA,NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","45"
116,"138","5","5",".",".","0","68","140","Strongly Disagree","Strongly Disagree","Strongly Disagree","Slightly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Slightly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","77"
117,"243","5","3","105","175","0","66","170","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","73"
118,"353","5","5","?","?","?","6","200","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Slightly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Slightly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","79"
119,"213","6","4","235","415","8","5'11""","228","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Slightly Agree","Somewhat Agree","Slightly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Slightly Disagree","Slightly Agree","Strongly Agree","Strongly Agree","Strongly Agree","108"
120,"140","4","4","305","535","12","73","230","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","66"
121,"356","7","5","Unknown","Unknown","25","69","190","Neutral","Slightly Agree","Slightly Agree","Slightly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Somewhat Disagree","Slightly Agree","Slightly Disagree","70"
122,"183","4","3","20","60","1","68","190","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","75"
123,"384","6","5","?","?","?","74","228","Neutral","Slightly Agree","Slightly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Slightly Disagree","Neutral","Strongly Disagree","Somewhat Disagree","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Neutral","79"
124,"231","7","5","385","405","20","71","245","Slightly Agree","Slightly Agree","Slightly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Slightly Disagree","Strongly Disagree","Slightly Agree","Somewhat Disagree","Somewhat Disagree","Neutral","Strongly Agree","Slightly Agree","86"
125,"237",NA,"5","70","150","3","62","140","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Neutral","Strongly Disagree","Somewhat Agree","Neutral","Strongly Agree","Strongly Agree","84"
126,"632","10","6","260","280","16","67","210","Slightly Disagree","Strongly Agree","Slightly Disagree","Slightly Agree","Neutral","Slightly Agree","Strongly Agree","Slightly Agree","Slightly Agree","Slightly Disagree","Neutral","Slightly Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","91"
127,"310",NA,"5","275","585","15","71","205","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","102"
128,"273","8","3","225","225","10","74","250","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neutral","Slightly Agree","Slightly Agree","Somewhat Agree","Slightly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","73"
129,"295","5","5","120","Dont do this type of activity","Do do this type of activity","67","235","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree",NA,"67"
130,"430","7","5","265","405","28","68","165","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","98"
131,"243","8","5","?","?","6","65","140","Strongly Disagree","Strongly Disagree","Strongly Disagree","Slightly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","74"
132,"158","4","2","180","180","12","67","155","Slightly Disagree","Somewhat Disagree","Slightly Disagree","Neutral","Somewhat Agree","Slightly Agree","Slightly Agree","Neutral","Neutral","Slightly Disagree","Slightly Disagree","Strongly Disagree","Slightly Agree","Somewhat Agree","Slightly Agree","Somewhat Agree","79"
133,"2637","5","5","225","330","13","77","245","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","89"
134,"243",NA,"5","260","365","28","71","172","Slightly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Neutral","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Agree","Slightly Disagree","Neutral","Strongly Agree","Neutral","95"
135,"255",NA,"7","90","110","5","68","180","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","82"
136,"246","7","5","I don't bench","I don't Deadlift","6","5'4","200","Neutral","Somewhat Disagree","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","88"
137,"186",NA,"7","225","315","21","71","190","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Slightly Agree","Slightly Agree","Somewhat Agree","Slightly Agree","Somewhat Disagree","Slightly Disagree","Somewhat Agree","Somewhat Disagree","88"
138,"388","5","7","Dont know","70 yrs old dont do this","0","5'3""","130","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neutral","Slightly Disagree","Slightly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Slightly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","64"
139,"268","7","7","150","300","2","65","185","Neutral","Strongly Agree","Slightly Agree","Strongly Agree","Somewhat Agree","Slightly Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Neutral","Neutral","Somewhat Disagree","Neutral","92"
140,"209","9","5","255","415","12","72","230","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","73"
